study_accession,reported_trait,mapped_trait,efo_ids,population,sample_size,sample_size_source,cases,cases_source,controls,controls_source,file_available,api_available,harmonised_available,ssf_status,summary_statistics_available,summary_statistics_location,resolved_file_name,resolved_file_size,initial_sample_description,replication_sample_description,genome_build,study_year,pubmed_id,first_author,journal,publication_title,association_count,api_source,ancestry_match_score
GCST90083812,"ICD10 G43.9: Migraine, unspecified (Gene-based burden)",migraine disorder,MONDO_0005277,European,387898,regex,3383,regex,384515,regex,True,True,False,non-GWAS-SSF,True,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90083001-GCST90084000/GCST90083812,GCST90083812_buildGRCh38.tsv.gz,4508876,"3,383 European ancestry cases, 384,515 European ancestry controls",,GRCh38,2021,34662886,Backman JD,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants.",,gwas_catalog_rest_v2,1.0
GCST90079826,"ICD10 G43.9: Migraine, unspecified",migraine disorder,MONDO_0005277,European,387898,regex,3383,regex,384515,regex,True,True,True,pre-GWAS-SSF,True,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90079001-GCST90080000/GCST90079826,34662886-GCST90079826-EFO_0003821.h.tsv.gz,19922944,"3,383 European ancestry cases, 384,515 European ancestry controls",,GRCh38,2021,34662886,Backman JD,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants.",,gwas_catalog_rest_v2,1.0
GCST90079827,ICD10 G43: Migraine,migraine disorder,MONDO_0005277,European,378172,regex,8426,regex,369746,regex,True,True,True,pre-GWAS-SSF,True,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90079001-GCST90080000/GCST90079827,34662886-GCST90079827-EFO_0003821.h.tsv.gz,18874368,"8,426 European ancestry cases, 369,746 European ancestry controls",,GRCh38,2021,34662886,Backman JD,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants.",,gwas_catalog_rest_v2,1.0
GCST90083813,ICD10 G43: Migraine (Gene-based burden),migraine disorder,MONDO_0005277,European,378172,regex,8426,regex,369746,regex,True,True,False,non-GWAS-SSF,True,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90083001-GCST90084000/GCST90083813,GCST90083813_buildGRCh38.tsv.gz,4508876,"8,426 European ancestry cases, 369,746 European ancestry controls",,GRCh38,2021,34662886,Backman JD,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants.",,gwas_catalog_rest_v2,1.0
GCST90671940,Migraine,migraine disorder,MONDO_0005277,European,341050,regex,10881,regex,330169,regex,True,True,False,GWAS-SSF,True,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90671001-GCST90672000/GCST90671940,GCST90671940.tsv.gz,248512512,"10,881 European ancestry cases, 330,169 European ancestry controls",,GRCh37,2022,35115687,Hautakangas H,Nat Genet,"Genome-wide analysis of 102,084 migraine cases identifies 123 risk loci and subtype-specific risk alleles.",,gwas_catalog_rest_v2,1.0
GCST90081731,Migraine (Gene-based burden),migraine disorder,MONDO_0005277,European,331754,regex,14131,regex,317623,regex,True,True,False,non-GWAS-SSF,True,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90081001-GCST90082000/GCST90081731,GCST90081731_buildGRCh38.tsv.gz,4508876,"14,131 European ancestry cases, 317,623 European ancestry controls",,GRCh38,2021,34662886,Backman JD,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants.",,gwas_catalog_rest_v2,1.0
